role_k1500,role_k1000,role_k500,role_k300,role_k150,role_k50,job_category,onet_code,onet_title
foreman,Foreman,Foreman,Foreman,Foreman,Machine Operator,Engineer,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
forklift,Forklift Operator,Material Handler,Warehouse Worker,Driver,Distribution Specialist,Operations,51-9198.00,Helpers--Production Workers
fp a,FP&A Specialist,Financial Planning & Analysis,Financial Analyst,Financial Analyst,Accountant,Finance,13-2051.00,Financial and Investment Analysts
franchise,Franchise Manager,Small Business Specialist,Small Business Specialist,Sales Representative,Sales Representative,Sales,11-1021.00,General and Operations Managers
fraud,Fraud Analyst,Fraud Analyst,Fraud Analyst,Fraud Analyst,Legal,Admin,13-1041.00,Compliance Officers
fraud analyst,Fraud Analyst,Fraud Analyst,Fraud Analyst,Fraud Analyst,Legal,Admin,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
fraud investigator,Fraud Analyst,Fraud Analyst,Fraud Analyst,Fraud Analyst,Legal,Admin,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
front,Front Office Manager,Front Office Manager,Receptionist,Receptionist,Receptionist,Sales,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
front agent,Front Office Manager,Front Office Manager,Receptionist,Receptionist,Receptionist,Sales,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
front developer,Frontend Developer,Frontend Developer,Web Developer,Web Developer,Software Engineer,Engineer,15-1254.00,Web Developers
front house,Catering Specialist,Bartender,Bartender,Crew Member,Crew Member,Sales,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
front receptionist,Receptionist,Receptionist,Receptionist,Receptionist,Receptionist,Sales,43-4171.00,Receptionists and Information Clerks
frontend developer,Frontend Developer,Frontend Developer,Web Developer,Web Developer,Software Engineer,Engineer,15-1254.00,Web Developers
fulfillment,Fulfillment Associate,Warehouse Associate,Distribution Specialist,Distribution Specialist,Distribution Specialist,Operations,43-5071.00,"Shipping, Receiving, and Inventory Clerks"
functional analyst,Functional Analyst,Business Systems Analyst,Business Systems Analyst,IT Project Manager,IT Project Manager,Engineer,15-1211.00,Computer Systems Analysts
functional consultant,Functional Consultant,Application Consultant,Application Specialist,IT Project Manager,IT Project Manager,Engineer,13-1111.00,Management Analysts
fund accountant,Fund Accountant,Fund Accountant,Fund Accountant,Auditor,Accountant,Finance,13-2051.00,Financial and Investment Analysts
fund accounting,Fund Accountant,Fund Accountant,Fund Accountant,Auditor,Accountant,Finance,13-2051.00,Financial and Investment Analysts
fund administrator,Fund Administrator,Fund Accountant,Fund Accountant,Auditor,Accountant,Finance,13-2011.00,Accountants and Auditors
game,Game Associate,Game Associate,Crew Member,Crew Member,Crew Member,Sales,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
game designer,Game Designer,Game Designer,UX Designer,UX Designer,Designer,Marketing,15-1255.01,Video Game Designers
geek squad,Geek Squad,Genius,Genius,Genius,Retail Sales,Sales,51-9197.00,Tire Builders
genius,Genius,Genius,Genius,Genius,Retail Sales,Sales,49-9064.00,Watch and Clock Repairers
geologist,Geologist,Geologist,Geologist,Geologist,Geologist,Scientist,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
geophysicist,Geophysicist,Geologist,Geologist,Geologist,Geologist,Scientist,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
geotechnical engineer,Geotechnical Engineer,Structural Engineer,Structural Engineer,Structural Engineer,Mechanical Engineer,Engineer,17-1022.01,Geodetic Surveyors
gl accountant,General Ledger Accountant,Financial Reporting Specialist,Treasury Specialist,Auditor,Accountant,Finance,13-2011.00,Accountants and Auditors
gm,GM,GM,Chief Operating Officer,Operations Manager,Operations Manager,Operations,11-1021.00,General and Operations Managers
government affairs,Government Affairs,Government Affairs,Employee Relations,Communications Specialist,Communications Specialist,Marketing,11-2032.00,Public Relations Managers
graphic artist,Graphic Artist,Creative Services,Graphic Designer,Graphic Designer,Designer,Marketing,43-9031.00,Desktop Publishers
graphic design,Graphic Designer,Graphic Designer,Graphic Designer,Graphic Designer,Designer,Marketing,27-1024.00,Graphic Designers
graphic designer,Graphic Designer,Graphic Designer,Graphic Designer,Graphic Designer,Designer,Marketing,27-1024.00,Graphic Designers
grocery,Produce Associate,Produce Associate,Stocker,Cashier,Cashier,Sales,41-1011.00,First-Line Supervisors of Retail Sales Workers
guest,Guest Advisor,Game Associate,Crew Member,Crew Member,Crew Member,Sales,39-1022.00,First-Line Supervisors of Personal Service Workers
guest relations,Guest Services Associate,Front Office Manager,Receptionist,Receptionist,Receptionist,Sales,11-9081.00,Lodging Managers
guest service,Guest Services Associate,Front Office Manager,Receptionist,Receptionist,Receptionist,Sales,11-9081.00,Lodging Managers
guest service agent,Front Office Manager,Front Office Manager,Receptionist,Receptionist,Receptionist,Sales,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
guest service representative,Guest Services Associate,Front Office Manager,Receptionist,Receptionist,Receptionist,Sales,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
guest services,Guest Services Associate,Front Office Manager,Receptionist,Receptionist,Receptionist,Sales,11-9081.00,Lodging Managers
hairstylist,Hairstylist,Beauty Advisor,Stylist,Stylist,Merchandiser,Sales,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
hardware design engineer,Hardware Engineer,Hardware Engineer,Hardware Engineer,Test Engineer,Application Engineer,Engineer,17-2072.00,"Electronics Engineers, Except Computer"
hardware engineer,Hardware Engineer,Hardware Engineer,Hardware Engineer,Test Engineer,Application Engineer,Engineer,17-2072.00,"Electronics Engineers, Except Computer"
health safety,HSE Specialist,Safety Officer,Safety Officer,Safety Officer,Sustainability Specialist,Engineer,19-5012.00,Occupational Health and Safety Technicians
healthcare,Healthcare Specialist,Healthcare Specialist,Case Manager,Case Manager,Medical Rep,Scientist,11-9111.00,Medical and Health Services Managers
healthcare representative,Pharmaceutical Sales Representative,Pharmaceutical Sales Representative,Medical Sales Representative,Sales Training Specialist,Sales Representative,Sales,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
heavy equipment,Heavy Equipment Operator,Heavy Equipment Operator,Equipment Operator,Machine Operator,Machine Operator,Engineer,47-5041.00,Continuous Mining Machine Operators
help,Help Desk Specialist,Support Staff,Support Staff,Support Staff,Operations Administrator,Admin,11-9131.00,Postmasters and Mail Superintendents
help analyst,Help Desk Analyst,Desktop Support,Service Analyst,Technical Support,IT Specialist,Engineer,15-1232.00,Computer User Support Specialists
help technician,Help Desk Analyst,Desktop Support,Service Analyst,Technical Support,IT Specialist,Engineer,15-1232.00,Computer User Support Specialists
helpdesk,Helpdesk,Service Analyst,Service Analyst,Technical Support,IT Specialist,Engineer,15-1232.00,Computer User Support Specialists
helpdesk analyst,Service Analyst,Service Analyst,Service Analyst,Technical Support,IT Specialist,Engineer,15-1232.00,Computer User Support Specialists
home,Home Department Manager,Home Department Manager,Home Department Manager,Cleaner,Cashier,Sales,25-9021.00,Farm and Home Management Educators
hospitality,Catering Specialist,Bartender,Bartender,Crew Member,Crew Member,Sales,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
host,Host,Host,Host,Coach,Coordinator,Admin,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
hostess,Hostess,Receptionist,Receptionist,Receptionist,Receptionist,Sales,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
hotel,Restaurant Manager,Restaurant Manager,Restaurant Manager,Restaurant Manager,Crew Member,Sales,11-9081.00,Lodging Managers
housekeeper,Housekeeper,Housekeeper,Location Manager,Restaurant Manager,Crew Member,Sales,37-2012.00,Maids and Housekeeping Cleaners
housekeeping,Housekeeper,Housekeeper,Location Manager,Restaurant Manager,Crew Member,Sales,37-2012.00,Maids and Housekeeping Cleaners
hr,HR Specialist,HR Specialist,HR Specialist,Human Resources Specialist,Human Resources Specialist,Admin,11-3121.00,Human Resources Managers
hr admin,HR Admin,HR Specialist,HR Specialist,Human Resources Specialist,Human Resources Specialist,Admin,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
hr administrator,HR Administrator,HR Specialist,HR Specialist,Human Resources Specialist,Human Resources Specialist,Admin,43-3051.00,Payroll and Timekeeping Clerks
hr analyst,HR Analyst,HR Analyst,Human Resources Specialist,Human Resources Specialist,Human Resources Specialist,Admin,13-1071.00,Human Resources Specialists
hr business,HR Business Partner,HR Business Partner,HR Business Partner,HR Business Partner,Human Resources Specialist,Admin,11-3121.00,Human Resources Managers
hr consultant,HR Consultant,HR Business Partner,HR Business Partner,HR Business Partner,Human Resources Specialist,Admin,11-3121.00,Human Resources Managers
hr coordinator,HR Coordinator,Human Resources Specialist,Human Resources Specialist,Human Resources Specialist,Human Resources Specialist,Admin,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
hr officer,HR Specialist,HR Specialist,HR Specialist,Human Resources Specialist,Human Resources Specialist,Admin,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
hr operations,HR Operations,HR Business Partner,HR Business Partner,HR Business Partner,Human Resources Specialist,Admin,11-3121.00,Human Resources Managers
hr project,HR Project Manager,HR Business Partner,HR Business Partner,HR Business Partner,Human Resources Specialist,Admin,11-3121.00,Human Resources Managers
hr recruiter,Technical Recruiter,Recruiter,Recruiter,Recruiter,Recruiter,Admin,27-2012.04,Talent Directors
hr representative,Human Resources Representative,Human Resources Specialist,Human Resources Specialist,Human Resources Specialist,Human Resources Specialist,Admin,13-1071.00,Human Resources Specialists
hr services,HR Operations,HR Business Partner,HR Business Partner,HR Business Partner,Human Resources Specialist,Admin,11-3121.00,Human Resources Managers
hris,HRIS Specialist,HRIS Specialist,HRIS Specialist,Payroll Specialist,Human Resources Specialist,Admin,11-3111.00,Compensation and Benefits Managers
hris analyst,HRIS Specialist,HRIS Specialist,HRIS Specialist,Payroll Specialist,Human Resources Specialist,Admin,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
hse,HSE Specialist,Safety Officer,Safety Officer,Safety Officer,Sustainability Specialist,Engineer,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
human,Human Resources Specialist,Human Resources Specialist,Human Resources Specialist,Human Resources Specialist,Human Resources Specialist,Admin,11-3121.00,Human Resources Managers
human resources,Human Resources Specialist,Human Resources Specialist,Human Resources Specialist,Human Resources Specialist,Human Resources Specialist,Admin,11-3121.00,Human Resources Managers
human resources administrator,HR Coordinator,Human Resources Specialist,Human Resources Specialist,Human Resources Specialist,Human Resources Specialist,Admin,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
human resources analyst,HR Analyst,HR Analyst,Human Resources Specialist,Human Resources Specialist,Human Resources Specialist,Admin,13-1071.00,Human Resources Specialists
human resources business,HR Business Partner,HR Business Partner,HR Business Partner,HR Business Partner,Human Resources Specialist,Admin,11-3121.00,Human Resources Managers
human resources consultant,HR Consultant,HR Business Partner,HR Business Partner,HR Business Partner,Human Resources Specialist,Admin,11-3121.00,Human Resources Managers
